id,trigger,conditions,script,text,options,notes
"#RULESET_NAME rules",,,,,,
,,,,,,
# RULESET_TRADE_FLAVOR_TEXT_START,,,,,,
flavorTextMarketBuyan,TradePanelFlavorText,"$market.id == buyan_market score:1000
$id == eusan_nation_buyan","AddText""Entering the station after docking you can see a large emblem of the Nation emblazoned prominently over the main entranceway. Numerous replika units are around working the dockyard with several replikas roaming around with weaponry. Obviously this is a major security zone as most of the patrolling replikas are armed with shotguns, rifles and shields. A stern looking replika security officer steps towards you and to demand that you sign several forms, shoving a rather beaten looking computer pad in your face. After what seems like an eternity you finally sign the last of the forms just for docking. Satisfied, the replika security officer then waves you past the security checkpoint, allowing you to finally begin your errands and business at the station"" textGrayColor",,,
flavorTextMarketVineta,TradePanelFlavorText,"$market.id == vineta_market score:1000
$id == eusan_nation_vineta","AddText""Arriving at Vineta, you are immediately greeted by a large crowd of people waiting for transport to and from the planet. At the security checkpoint the security replika hands you a rather worn looking computer pad. Numerous customs and declaration forms labeled REQUIRED greet your eyes. After a very long time you finally complete the last form and hand the pad back to the replika. Satisfied she opens the security gate and waves you in. As you walk out, you can hear the replika behind you shout 'NEXT' for the next person in line."" textGrayColor",,,
flavorTextMarketKitezh,TradePanelFlavorText,"$market.id == kitezh_market score:1000
$id == eusan_nation_kitezh","AddText""The embarkation area was teeming with a large number of workers and replikas handling large cargo containers being loaded onto trams. Some of the workers and machinery have the telltale signs of tinged with the famous red dusty sands of Kitezh. The local security replika beckons you to sign a form. You give a sigh and head over to begin the long process of paperwork just to pass customs."" textGrayColor",,,
flavorTextMarketRotfront,TradePanelFlavorText,"$market.id == rotfront_market score:1000
$id == eusan_nation_rotfront","AddText""After a very, very long visit at the security booth trying to get the forms signed, ordered and filled out, you exit the docking area to finally enter the main lobby area. The logo of the Nation is exceptionally prominent, a massive golden icon towering over the people walking about. The brillance of color the emblem makes isn't enough to cover up the dreadful rainy gloom outside. The large number of grey apartment building certainly do not help. The sooner ship captains complete their buisness and leave Rotfront, the happier they become."" textGrayColor",,,
flavorTextMarketHeimat,TradePanelFlavorText,"$market.id == heimat_market score:1000
$id == eusan_nation_heimat","AddText""From orbit, the yellow clouds obscure Heimat's cities. However once you land, get past the port authority replikas and sign the insane forms, visitors are greeted by a large, almost opulent city. Numerous people walk about with an equal number of replikas of varying shapes and heights doing various tasks. For you and your fellow crewmates, Heimat is probably one of the few places that actually look like people care about appearences."" textGrayColor",,,
flavorTextMarketLeng,TradePanelFlavorText,"$market.id == leng_market score:1000
$id == eusan_nation_leng","AddText""Cargo ships, freight trams and workers are a common sight, even at the passenger areas. It seems that despite being a general port, its mostly used for shipping cargo out. Security replikas are much rougher and strict here as the number greeting you don't have the usual security weaponry but much heavier stuff. You can definitely detect an air of fear here. Most of the workers avoid your gaze while the replikas seem to be occupying positions of authority here."" textGrayColor",,,
"#END RULESET_TRADE_FLAVOR_TEXT_START",,,,,,
,,,,,,
# RULESET_RELATIONSHIP_LEVEL_DESC_START,,,,,,
relLevelNeutralSigNation,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == eusan_nation",,"You are not generally well known by $faction officials, for good or ill. Like any regular person they just don't care about you.",,
relLevelFavorableSigNation,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == eusan_nation",,"The $faction authorities tend to view you favorably but not enough to give you much attention. At best, you might be sold some export grade surplus equipment or some low quality consumer goods if you are brave enough or dumb enough to purchase.",,
relLevelWelcomingSigNation,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == eusan_nation",,"Your name is known to some mid-level of $theFaction. The mere mention of your name can cause some officials to break out in a sweat or fidget nervously.",,
relLevelFriendlySigNation,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == eusan_nation",,"You're relatively well-known within $theFaction, whether in person or by reputation. Low level officials will sometimes try to lavish you with gifts so they can win your favor and hopefully help their careers by putting in a good word.",,
relLevelCooperativeSigNation,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == eusan_nation",,"You know some of the $faction leaders on a personal level. You may receive trade concessions and access to high-quality ships and munitions. Your tales and aid are legendary, and your influence and connections limitless within $faction.",,
relLevelSuspiciousSigNation,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == eusan_nation",,"$faction officials tend to view you with suspicion. Access to the port authority is granted only grudgingly, and you find yourself the subject of frequent investigations and harassment by Replika security units.",,
relLevelInhospitableSigNation,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == eusan_nation",,"No shoot on sight orders have been given but @faction forces are on alert and encouraged to make your life miserable.",,
relLevelHostileSigNation,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == eusan_nation",,"Your name is known to officials as a menace to society and top enemy of the people. $Faction commanders have authorization to engage your fleet on sight. However, there may still be a way for you to sneak into their markets to do some black-market trading. You might still recover good standing with $theFaction, but it's going to take some serious work or bribery to do so.",,
relLevelVengefulSigNation,RelationshipLevelDesc,"$faction.rel == VENGFUL
$faction.id == eusan_nation",,"A holo of your face and an IDENT-hash of your last known fleet position are both regular parts of security bulletins issued by Protektor forces. It's fairly certain there's a high-ranking $faction officer sent by top levels of the $theFaction whose primary assignment is to hunt you down. For them, you are enemy number 1, a scourge and something to be hated and destroyed.",,
"#END RULESET_RELATIONSHIP_LEVEL_DESC_START",,,,,,
,,,,,,
# RULESET_BAR_DESCRIPTION_START,,,,,,
bardescSigNation,BarPrintDesc,"$faction.id== eusan_nation","ShowImageVisual hegemony_bar","The bar is crowded with large number of spacers taking a break from their long journey. Of course there are several Replikas but its is hard to discern if they are partaking in the drink or keeping watch over their human counterparts. The bar seems to be selling popular spirits from the sector but thankfully they seem to accept your standard credits as currency. Very few members of the Nation or military members are here. The ones are probably are high ranking officers or top level government officials.",,
"#END RULESET_BAR_DESCRIPTION_START",,,,,,
,,,,,,
# RULESET_FLEET_GREETING_START,,,,,,
greetingFriendlySigNation,OpenCommLink,"$faction.id == eusan_nation 
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","Confirming Volksmarine NIS transponder and encryption code. Good to see you $playerName and have a good day.",,
greetingNeutralSigNation,OpenCommLink,"$faction.id == eusan_nation
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","Domain-type AIS Code verified. This is $personRank $personName of Eusan Nation. You are in our our self-defense zone and within weapons range. State your intentions, over.",,
greetingHostileWeakerSigNation,OpenCommLink,"$faction.id == eusan_nation
$entity.isHostile
$entity.relativeStrength < 0","$entity.ignorePlayerCommRequests = true 1","Send word to HQ and request reinforcements! Our forces may be less powerful at the moment but the Nation will prevail!","cutCommLink:Cut the comm link",
greetingHostileWeakerDefiantSigNation,OpenCommLink,"$faction.id == eusan_nation
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding","$entity.ignorePlayerCommRequests = true 1","We are the sword and shield of the Nation! The Volksmarine will not retreat without a fight!","cutCommLink:Cut the comm link",
greetingHostileStrongerSigNation,OpenCommLink,"$faction.id == eusan_nation
$entity.isHostile
$entity.relativeStrength >= 0","$entity.ignorePlayerCommRequests = true 1","Attention enemies of the Nation. You are outmatched, you are cornered, and you are at our mercy. Surrender now and face justice for your crimes against the Eusan people!","cutCommLink:Cut the comm link",
"#END RULESET_FLEET_GREETING_START",,,,,,
,,,,,,
# NEXERLIN_FACTION_INTRO_START,,,,,,
eusan_nation_NGCStep3FactionStart,ExerelinNGCStep3,"$playerFaction == eusan_nation","AddText""Hello and thank you for choosing the Eusan Nation. This faction is based off the faction of the same name from Signalis, a horror game created by Barbara Wittmann and Yuri Stern of indie game studio, rose-engine. Many thanks to them for creating a wonderful game that no two people have the same idea of what the story is.""

AddText""The Eusan Nation is a totalitarian nation in which in the setting of Starsector, have won their decades long struggle against the Eusan Empire. Now masters of their own star system, they must now contend with the aftermath of the war and the wider Persean Sector. They have been lucky so far with the major powers being rather unconcerned of the struggles of the Eusan people. Now with the system finally under total control of the Nation, the stars are theirs for the taking.""

AddText""The Nation is primarily a low-tech faction with lots of missile and ballistic weaponry strapped to rather primitive looking starships. What they lack in technology, they make up for it in soft advantages. Their fleet is rather heavy in frigates, destroyers, and cruisers.""

AddText""As this mod is under a work in progress, new features will come online as things progress. I hope you enjoy this mod and thank you for choosing this faction to play.""",,,
"#END NEXERLIN_FACTION_INTRO_START",,,,,,
,,,,,,
# EUSAN_NATION_NPC_DIALOUGE,,,,,,
,,,,,,
# EUSAN_NATION_OFFICER_YEONG,,,,,,
,,,,,,
# OFFICER_YEONG_NEURALREPOSITORY_QUEST,,,,,,
OFFICER_YEONG_NEURALREPOSITORY_START,PopulateOptions,"RepLTE ""eusan_nation"" WELCOMING
$player.commissionFactionId == ""eusan_nation""
$id ==  ""eusan_nation_officer_yeong"" score: 100
$player.metOfficerYeong == true
$officeryeong_neuralrepositorystart == false","$officeryeong_neuralrepositorystart = true
BeginConversation ""eusan_nation_officer_yeong""",,"officeryeongNeuralRepBriefing0:""So I have a new task for you if you are up for it""",
OFFICER_YEONG_NEURALREPOSITORY_BRIEFING0,DialogOptionSelected,"$option == officeryeongNeuralRepBriefing0",,"""The reason why I asked is that you have been deem trustworthy by our security services and even though I don't have much clout, the way things work here I am obligated to conduct a background check for all commissioned officers of the Eusan Nation.""

""I have several things on my plate and frankly I don't have enough time to follow up on all of them myself. There is something small and nice for someone like you..."" she says, a small, faint smile lighting up. You can see it took some effort for her to smile. You wonder when was the last time she did that.

""Anyway, if you are up to the task, I have an assignment and needs to be done..."" she explains...","officeryeongNeuralRepBriefing1:""Alright...tell me what needs to be done?""",
OFFICER_YEONG_NEURALREPOSITORY_BRIEFING1,DialogOptionSelected,"$option == officeryeongNeuralRepBriefing1",,"""The name is Ariane Yeong. Remember that next time."" she said as she slid a rather thin looking folder with numerous crossed out items and redactions on the front cover.

You open the folder and inside are a series of pictures, a few pages with lists of statistics printed and an old newspaper clipping. You take a look at the pictures and they all seem to show the same building from different angles. Then you look at the newspaper cutout and you seem to notice that it just shows a giant hole on the ground and ruined buildings near it. 

""What your looking at is the Central Neural Archive""","officeryeongNeuralRepBriefing2:""Let me guess...someone bombed it right?""",
OFFICER_YEONG_NEURALREPOSITORY_BRIEFING2,DialogOptionSelected,"$option == officeryeongNeuralRepBriefing2",,"""Yes yes...its a hole in the ground. Nuked by the Empire. So according to my information, the Central Neural Archive was destroyed by an Imperial cruiser several years ago. Probably some remnant Imperials doing pirate raids on merchant shipping...who cares...the issue here is that I been given an assignment to recover data if there is any from this crater on Vineta"" she explained. She puts a finger on the picture as if making a point. An uncomfortable pause occurs. She lifts her finger from the picture and she straightens up.

Ariane stands up and walks over to a file cabinet and pulls out another folder. She opens it and hands you a paper with a picture.

""This man here is our agent sent to recover the data. AEON obviously dislikes certain outside agencies poking their noses into their operations and goes to great effort to discourage it but I have authority from a higher power. Several days ago AEON work crews unearthed a backup data storage from the central computer room. We made requests for the data but AEON refused us at every turn until recently.""

""It seems that the political games have soured people in upper management and has forced AEON to cooperate with us. We asked our agent on Vineta to get the data but a traffic control malfunction or so they say has grounded all transport ships. AEON making life difficult for us so we need someone not officially part of our agency to do so. You have some immunity from their nonsense""","officeryeongNeuralRepBriefing3:""Right...then what? What is my contact method?""",
OFFICER_YEONG_NEURALREPOSITORY_BRIEFING3,DialogOptionSelected,"$option == officeryeongNeuralRepBriefing3",,"""Send him a coded message upon arriving at Vineta. Once you set up initial communication, meet with him directly and get the data he is carrying. Fly back to Heimat""

""if we get the info, we can find the spy or narrow down the search. KLBR units will be able to locate the person or persons...and we cripple the spy network.""","officeryeongNeuralRepBriefing4:""I see. Well thats in it for me?""",
OFFICER_YEONG_NEURALREPOSITORY_BRIEFING4,DialogOptionSelected,"$option == officeryeongNeuralRepBriefing4","FireAll ","""You get paid according to the rules and regulations set forth by the Nation"" Ariane dryly responds.

""50,000 credits to be exact.""

Ariane stands up from her desk and hands you an envelope. You rip it open and see a list of radio frequencies. 

""Code frequencies to contact him. The passphrase is 'I got a package to deliver but the address is in Carcosa.' The response will be, 'I am not sure how I can help but I will try' """,,
"#END OFFICER_YEONG_NEURALREPOSITORY_QUEST",,,,,,
,,,,,,
# OFFICER_YEONG_GREETING,,,,,,
OFFICER_YEONG_GREETING,PickGreeting,"$player.commissionFactionId == ""eusan_nation""
$id ==  ""eusan_nation_officer_yeong"" score: 100
$player.metOfficerYeong == true","ShowPersonVisual
FireAll PopulateOptions","Hello there. What do you want?
OR
Welcome back $playerName, what can I do for you?
OR
Hello hello. Got any smokes I can ask of you?
OR
Calling me again? What do you want this time?
OR
Well well well if it isn't $playerName. What do you need this time?",,
